hpoID	hpoLabel	deltaZ	pValue	nGenes
HP:0005918	Abnormal finger phalanx morphology	-0.00462172043162	0.664272461213	442
HP:0007370	Aplasia/Hypoplasia of the corpus callosum	-0.0102874222776	0.138788604355	442
HP:0000429	Abnormality of the nasal alae	-0.0119447796636	0.161549924987	448
HP:0000648	Optic atrophy	-0.028271993766	5.78712838082e-13	430
HP:0003110	Abnormality of urine homeostasis	-0.00472047561875	0.654168801281	434
HP:0009815	Aplasia/hypoplasia of the extremities	0.00588440781288	0.626427187446	426
HP:0000750	Delayed speech and language development	-0.0120561513988	0.146131259392	413
HP:0200006	Slanting of the palpebral fissure	0.00151818003212	0.900283082491	428
HP:0011362	Abnormal hair quantity	-0.00733771869003	0.237701175939	426
HP:0000812	Abnormal internal genitalia	0.0210936725032	0.111895188848	431
HP:0000080	Abnormality of reproductive system physiology	0.00441809770388	0.712791238012	413
HP:0100763	Abnormality of the lymphatic system	0.0069290634672	0.542406755069	442
HP:0011014	Abnormal glucose homeostasis	0.00848996109151	0.484543718407	416
HP:0000202	Oral cleft	-0.00582852561556	0.605680884277	422
HP:0000464	Abnormality of the neck	-0.00705618547821	0.376401072836	412
HP:0001780	Abnormality of toe	0.00512401617311	0.681813606326	418
HP:0000218	High palate	0.0108764856188	0.39649083354	409
HP:0100491	Abnormality of lower limb joint	0.0013219123172	0.916168840474	407
HP:0003241	External genital hypoplasia	-0.0122207076813	0.0265353299849	390
HP:0045060	Aplasia/hypoplasia involving bones of the extremities	0.00744236447795	0.562071260204	398
HP:0007369	Atrophy/Degeneration affecting the cerebrum	-0.0173949917207	0.000168433547127	401
HP:0025270	Abnormality of esophagus physiology	-0.0162237459962	0.00299577201421	401
HP:0000553	Abnormal uvea morphology	0.0168924533058	0.161213491133	402
HP:0000008	Abnormality of female internal genitalia	0.0237571036715	0.0886958098026	408
HP:0002059	Cerebral atrophy	-0.016880798485	0.000302738650781	395
HP:0002119	Ventriculomegaly	0.000888993960838	0.94327131003	374
HP:0001877	Abnormal erythrocyte morphology	0.0183118684016	0.168976172663	402
HP:0003202	Skeletal muscle atrophy	-0.00399702356972	0.574518165101	382
HP:0004348	Abnormality of bone mineral density	0.00642322998503	0.588673518748	402
HP:0100737	Abnormal hard palate morphology	-0.0047632365913	0.691201467612	394
HP:0001671	Abnormal cardiac septum morphology	0.00382864348323	0.751863860692	401
HP:0001315	Reduced tendon reflexes	-0.0089683370894	0.165063910886	384
HP:0000175	Cleft palate	-0.0056658361503	0.636487009264	393
HP:0002644	Abnormality of pelvic girdle bone morphology	0.00608231085615	0.645916715688	391
HP:0000050	Hypoplastic male external genitalia	-0.0119193217337	0.0366766321781	374
HP:0002093	Respiratory insufficiency	0.000679606888905	0.92807983525	386
HP:0005288	Abnormality of the nares	-0.00883551875274	0.355721781447	394
HP:0001337	Tremor	-0.0104089051725	0.0903529731686	370
HP:0032251	Abnormal immune system morphology	0.0323716502715	0.0195685635387	397
HP:0001260	Dysarthria	0.00113605534537	0.891034423255	375
HP:0011276	Vascular skin abnormality	-0.000928521831084	0.89885103563	382
HP:0000463	Anteverted nares	-0.00824532027618	0.401827712179	383
HP:0001637	Abnormal myocardium morphology	0.00975408519915	0.451753926408	370
HP:0025354	Abnormal cellular phenotype	0.00394882239917	0.76522737245	359
HP:0030962	Abnormal morphology of the great vessels	0.0108690237748	0.410723029764	367
HP:0003679	Pace of progression	-0.00854682725609	0.122403324453	385
HP:0001713	Abnormal cardiac ventricle morphology	0.00398636640912	0.651212128648	367
HP:0001903	Anemia	0.0214987548545	0.126870684273	378
HP:0001881	Abnormal leukocyte morphology	0.0329222657134	0.0212569145809	385
HP:0010987	Abnormal cellular immune system morphology	0.0329222657134	0.0212569145809	385
HP:0001270	Motor delay	-0.00853559435823	0.185719072488	366
HP:0000309	Abnormality of the midface	-0.0141071247648	0.0694827989232	367
HP:0031466	Impairment in personality functioning	0.0016188496666	0.842259191512	357
HP:0000539	Abnormality of refraction	0.000570807139819	0.963732446133	361
HP:0000288	Abnormality of the philtrum	-0.015455177409	0.0404675413013	368
HP:0001311	Abnormal nervous system electrophysiology	-0.0255365738631	8.21694721658e-07	362
HP:0000534	Abnormal eyebrow morphology	-0.018896003335	0.00123412677725	368
HP:0011947	Respiratory tract infection	-0.00724424262064	0.278623510696	361
HP:0011017	Abnormal cellular physiology	0.00309017879736	0.819780527566	348
HP:0003593	Infantile onset	-0.0174966674253	0.00119272018915	375
HP:0002240	Hepatomegaly	0.00521758380586	0.497054488032	371
HP:0002577	Abnormality of the stomach	-0.00242136113654	0.805699396938	343
HP:0011032	Abnormality of fluid regulation	0.0118385382374	0.128315199924	375
HP:0001638	Cardiomyopathy	0.010554610752	0.438040216228	347
HP:0000431	Wide nasal bridge	-0.0156979547571	0.00821946147557	354
HP:0010876	Abnormal circulating protein level	0.00280915497622	0.720418442247	345
HP:0011927	Short digit	0.000791270213405	0.95022305161	345
HP:0009810	Abnormality of upper limb joint	-0.00979134320692	0.2276856865	341
HP:0003812	Phenotypic variability	-0.00104989370446	0.909324619732	341
HP:0001743	Abnormality of the spleen	0.0157375005708	0.261088468291	355
HP:0006496	Aplasia/hypoplasia involving bones of the upper limbs	0.0092106506928	0.537939338579	335
HP:0004349	Reduced bone mineral density	0.0104018362115	0.442796990955	348
HP:0000370	Abnormality of the middle ear	-0.0170403432171	0.00289641567503	347
HP:0001072	Thickened skin	0.0111900181713	0.176575513616	339
HP:0002205	Recurrent respiratory infections	-0.00617514751744	0.387557908806	334
HP:0100790	Hernia	0.00554061401868	0.689542873196	329
HP:0008736	Hypoplasia of penis	-0.0131476701779	0.0240698394089	328
HP:0003272	Abnormality of the hip bone	0.0102649599795	0.511131893528	329
HP:0000286	Epicanthus	0.00280541703552	0.842741844304	337
HP:0000525	Abnormality iris morphology	0.021768823736	0.134121815643	327
HP:0030956	Abnormality of cardiovascular system electrophysiology	0.00122463599046	0.879479812747	318
HP:0010549	Weakness due to upper motor neuron dysfunction	-0.00257452976549	0.771468688749	313
HP:0025408	Abnormal spleen morphology	0.018474073084	0.2107436974	336
HP:0004298	Abnormality of the abdominal wall	0.0177987869361	0.248032809973	327
HP:0001511	Intrauterine growth retardation	-0.00767439039958	0.573287821288	338
HP:0001000	Abnormality of skin pigmentation	0.0315576032234	0.0723029521569	318
HP:0001892	Abnormal bleeding	0.0268975579111	0.027030171334	329
HP:0030972	Abnormal systemic blood pressure	0.00484980685109	0.706149462335	316
HP:0011004	Abnormal systemic arterial morphology	0.0116454275827	0.43796374446	315
HP:0005927	Aplasia/hypoplasia involving bones of the hand	0.0125333906958	0.441837717048	307
HP:0007663	Reduced visual acuity	-0.0120092234007	0.0516923772103	323
HP:0008056	Aplasia/Hypoplasia affecting the eye	0.013886659032	0.390110316744	316
HP:0009127	Abnormality of the musculature of the limbs	-0.0104561443254	0.0986281117501	322
HP:0002921	Abnormality of the cerebrospinal fluid	-0.000587111280713	0.968658501396	310
HP:0040070	Abnormal upper limb bone morphology	0.0128123679433	0.41114235749	317
HP:0009484	Deviation of the hand or of fingers of the hand	0.000845735275704	0.955351641948	304
HP:0011368	Epidermal thickening	0.00753798269458	0.392965036198	308
HP:0030084	Clinodactyly	0.0104356693596	0.50361020806	303
HP:0001597	Abnormality of the nail	-0.000461290481632	0.963522956551	306
HP:0011675	Arrhythmia	-0.000729322553628	0.92918694325	296
HP:0003468	Abnormal vertebral morphology	-0.0137574062888	0.112078929142	304
HP:0012447	Abnormal myelination	-0.0251856428673	1.37833071678e-07	318
HP:0000135	Hypogonadism	0.00908027446749	0.555730857938	306
HP:0011122	Abnormality of skin physiology	-0.00102366160625	0.893810731834	316
HP:0003117	Abnormal circulating hormone level	-0.00950226669716	0.190163060675	305
HP:0008872	Feeding difficulties in infancy	-0.0168454083177	0.0108233985003	284
HP:0004097	Deviation of finger	0.00211624977925	0.892145712353	294
HP:0000494	Downslanted palpebral fissures	-0.011751339739	0.208294046776	300
HP:0005280	Depressed nasal bridge	-0.0263401571825	4.60978069097e-08	303
HP:0030178	Abnormality of central nervous system electrophysiology	-0.0261658680978	1.69084254354e-05	289
HP:0002087	Abnormality of the upper respiratory tract	0.0416645943213	0.025047984672	302
HP:0000969	Edema	0.013978248977	0.111110516168	313
HP:0002808	Kyphosis	-0.0168346695336	0.0102529182655	278
HP:0004302	Functional motor deficit	-0.0158900021605	0.0135479708077	294
HP:0001608	Abnormality of the voice	-0.00442323801594	0.559454568972	293
HP:0004324	Increased body weight	-0.0190198743214	0.00251905710348	288
